length_url,length_hostname,nb_dots,nb_hyphens,nb_eq,nb_underscore,nb_percent,nb_comma,ratio_digits_url,longest_words_raw,longest_word_host,longest_word_path,domain_in_title,domain_with_copyright,domain_registration_length,status
80,72,2,2,0,0,0,0,0,43,43,0,1,0,0,1
24,16,2,0,0,0,0,0,0,8,8,0,1,1,77,0
39,22,2,0,0,0,0,0,0,14,14,4,0,1,19,1
63,11,2,3,0,0,0,0,0,8,7,8,1,1,573,1
58,25,3,3,0,0,0,0,0,9,8,9,1,0,266,0
42,18,2,2,0,0,0,0,0,7,5,7,1,0,23,0
65,43,2,0,0,0,0,0,0.076923077,20,20,13,1,0,358,1
61,27,3,1,0,1,0,0,0.131147541,14,14,4,1,1,374,1
109,20,3,1,0,0,0,0,0.19266055,32,14,32,1,0,438,1
404,11,2,1,3,0,0,0,0.121287129,301,7,301,1,0,225,1
23,16,2,1,0,0,0,0,0,6,6,0,1,1,427,0
99,25,2,2,0,1,0,0,0.03030303,36,10,36,1,0,381,1
32,23,2,0,0,0,0,0,0,15,15,0,1,0,323,0
86,17,4,5,0,0,0,0,0,13,3,13,1,0,0,1
61,21,3,0,0,2,0,0,0,13,13,8,1,0,319,0
29,21,2,0,0,0,0,0,0,13,13,0,0,0,116,0
29,16,1,1,0,0,0,0,0,12,12,3,1,0,191,1
49,25,2,0,0,0,0,0,0,17,17,16,1,1,2510,0
28,19,2,0,0,0,0,0,0,10,10,0,1,0,199,0
75,14,1,0,0,0,0,0,0.253333333,32,10,32,1,0,365,1
42,33,2,0,0,0,0,0,0,20,20,0,1,1,373,1
72,31,3,3,0,0,0,0,0,24,24,7,1,1,0,1
39,18,3,0,0,0,0,0,0,10,10,7,0,1,64,0
135,21,2,1,3,0,0,0,0.207407407,43,13,43,1,1,99,1
49,22,2,1,0,0,0,0,0,14,14,11,1,0,449,0
26,17,1,0,0,0,0,0,0,13,13,0,1,0,359,1
20,11,1,0,0,0,0,0,0,7,7,0,1,1,269,1
26,17,2,0,0,0,0,0,0,10,10,0,0,0,0,0
41,24,2,0,1,0,0,0,0.097560976,16,16,4,1,1,187,0
31,23,2,0,0,0,0,0,0,15,15,0,1,0,656,0
39,24,2,0,0,0,0,0,0,16,16,6,1,0,275,1
84,32,2,5,0,0,0,0,0,9,9,8,1,1,358,0
158,39,2,2,2,2,0,0,0.056962025,26,21,26,1,0,381,1
41,13,2,2,0,0,0,0,0.048780488,6,5,6,1,1,64,0
49,21,1,1,1,0,0,0,0,14,14,7,1,1,363,1
31,22,2,0,0,0,0,0,0,14,14,0,1,1,1657,0
45,37,2,0,0,0,0,0,0,24,24,0,1,1,371,0
85,18,4,0,0,0,0,0,0.435294118,50,5,50,1,0,290,1
63,38,5,3,0,0,0,0,0,7,7,7,1,1,228,1
153,12,5,0,9,0,0,0,0.248366013,17,8,17,1,0,10,1
60,17,2,2,0,0,0,0,0.033333333,12,9,12,0,0,285,0
41,25,3,0,0,0,0,0,0.024390244,11,11,4,1,0,332,1
26,18,1,0,0,0,0,0,0,15,15,0,1,1,0,0
43,17,3,2,0,0,0,0,0,7,7,7,0,0,44,0
29,20,2,0,0,0,0,0,0,13,13,0,1,1,4,1
142,25,5,0,1,0,2,0,0.126760563,67,8,67,1,1,231,1
48,16,3,0,0,0,0,0,0,8,8,8,1,0,19,1
37,18,2,0,0,0,0,0,0,11,10,11,1,1,170,1
33,15,2,0,0,0,0,0,0,10,8,10,1,0,0,0
61,30,3,0,0,3,0,0,0.131147541,17,17,7,1,1,371,1
28,19,3,0,0,0,0,0,0,9,9,0,1,1,0,0
32,14,2,0,0,0,0,0,0.125,5,5,4,1,0,233,0
26,17,2,0,0,0,0,0,0,9,9,0,0,1,326,0
48,17,3,2,0,0,0,0,0,9,9,7,1,0,1048,0
119,42,4,0,3,2,0,0,0.159663866,17,13,17,1,0,14,1
62,10,1,0,0,0,0,0,0.322580645,32,6,32,1,1,235,1
61,12,4,0,1,0,0,0,0.147540984,16,3,16,1,1,0,1
22,13,2,0,0,0,0,0,0,6,6,0,0,1,385,0
79,16,2,8,0,0,0,0,0,9,8,9,1,0,283,0
45,17,2,3,0,0,0,0,0,9,9,4,0,0,257,0
43,15,2,0,1,1,0,0,0.046511628,9,7,9,0,1,208,0
32,20,2,0,0,0,0,0,0.09375,12,12,2,1,0,252,1
24,17,2,0,0,0,0,0,0,7,7,0,1,0,226,0
37,28,2,2,0,0,0,0,0,10,10,0,1,0,204,0
46,18,1,1,0,0,0,0,0,7,7,5,1,1,211,1
40,19,2,0,0,1,0,0,0,11,11,8,0,1,251,0
50,22,2,1,0,0,0,0,0,13,6,13,1,0,132,1
40,14,2,2,0,0,0,0,0.025,7,6,7,1,0,189,0
59,20,3,0,0,1,0,0,0,12,12,10,1,0,237,0
30,21,2,0,0,0,0,0,0,13,13,0,1,1,151,0
26,10,1,0,0,0,0,0,0.038461538,7,7,7,0,0,0,1
21,12,2,0,0,0,0,0,0,4,4,0,0,1,47,0
56,20,3,0,0,5,0,0,0,12,12,4,1,1,390,0
20,12,2,0,0,0,0,0,0,5,5,0,1,1,100,0
31,22,1,0,0,0,0,0,0,18,18,0,1,1,51,1
47,17,1,0,1,1,0,0,0.085106383,13,13,10,1,0,127,1
48,12,1,0,0,0,0,0,0,9,9,9,1,0,0,1
55,47,4,0,0,0,0,0,0.290909091,30,30,0,1,1,227,1
57,48,4,3,0,0,0,0,0.157894737,11,11,0,1,0,218,1
42,16,2,0,0,0,0,0,0,16,8,16,0,0,2808,0
25,16,2,0,0,0,0,0,0,8,8,0,0,1,455,0
16,9,1,0,0,0,0,0,0,5,5,0,0,0,323,0
36,29,2,1,0,0,0,0,0,9,9,0,1,1,370,0
31,22,3,0,0,0,0,0,0,11,11,0,1,1,232,0
41,16,3,0,0,0,0,0,0.170731707,9,6,9,0,0,337,0
58,16,3,0,1,0,0,0,0.034482759,12,12,9,1,1,148,1
47,21,1,1,0,0,0,0,0.042553191,12,12,11,1,0,0,1
46,15,2,0,0,0,0,0,0,17,7,17,0,1,208,0
157,21,4,5,1,0,0,0,0.363057325,23,14,23,1,1,540,1
38,29,2,0,0,0,0,0,0,15,15,0,1,1,585,0
76,25,2,2,0,0,0,0,0.078947368,17,17,11,1,1,718,1
30,13,2,1,0,0,0,0,0,5,5,4,1,0,3162,0
89,30,4,5,0,0,0,0,0.06741573,11,10,11,1,1,586,0
29,22,2,0,0,0,0,0,0,16,16,0,1,0,167,0
33,11,2,0,0,0,0,0,0,10,7,10,1,0,228,1
68,30,2,3,0,0,0,0,0,16,16,9,1,1,-1,0
54,19,3,0,0,0,0,0,0,22,11,22,1,0,116,0
19,12,2,0,0,0,0,0,0,5,5,0,0,1,170,0
120,13,3,9,0,0,0,0,0.1,10,5,10,0,0,659,0
41,12,2,0,1,1,0,0,0.048780488,9,5,9,1,0,0,0
22,13,2,0,0,0,0,0,0,5,5,0,1,1,488,0
35,18,2,0,0,0,0,0,0,10,10,8,0,0,286,1
41,33,3,2,0,0,0,0,0,8,8,0,1,1,116,1
40,32,4,0,0,0,0,0,0.125,15,15,0,1,0,230,1
32,23,2,0,0,0,0,0,0,15,15,0,1,1,1312,0
30,22,2,0,0,0,0,0,0,9,9,0,1,1,370,0
66,23,3,4,0,0,0,0,0.075757576,13,13,7,0,1,276,0
59,19,1,1,0,0,0,0,0,15,15,12,1,0,39,1
27,18,1,0,0,0,0,0,0,15,15,0,0,0,128,0
41,16,2,0,0,1,0,0,0,9,9,5,0,1,903,0
88,14,2,9,0,0,0,0,0,9,6,9,1,0,257,0
125,20,2,8,0,0,0,0,0,12,12,11,0,0,2009,0
32,23,2,0,0,0,0,0,0,16,16,0,1,0,564,1
26,18,1,1,0,0,0,0,0,8,8,0,1,0,0,1
41,33,2,0,0,0,0,0,0,22,22,0,1,1,133,1
29,11,1,0,0,0,0,0,0,9,7,9,1,0,182,0
30,22,2,0,0,0,0,0,0,14,14,0,1,1,358,0
56,16,2,0,0,3,0,0,0,9,9,9,0,1,901,0
41,13,3,1,0,0,0,0,0.170731707,6,5,6,1,1,753,0
52,23,3,0,1,0,0,0,0.192307692,11,9,11,1,0,590,1
41,20,3,0,0,0,0,0,0,12,12,8,1,1,3479,0
56,30,2,2,0,0,0,0,0,13,13,7,1,0,222,1
54,22,4,0,0,0,0,0,0,11,11,5,1,0,0,1
57,40,3,2,0,0,0,0,0.087719298,13,13,5,1,1,644,1
33,16,2,0,0,0,0,0,0,9,9,4,1,1,905,0
50,15,3,0,0,0,0,0,0.12,7,7,7,0,0,277,0
70,21,2,3,0,0,0,0,0,17,17,7,1,0,258,1
41,22,2,0,0,0,0,0,0,14,14,6,0,1,20,1
28,19,2,1,0,0,0,0,0,6,6,0,1,0,169,1
89,43,2,1,0,0,0,0,0,39,39,13,1,0,401,1
19,4,1,0,0,0,0,0,0,6,1,6,1,0,0,1
141,36,2,2,1,3,0,0,0.04964539,34,18,34,1,0,381,1
183,22,4,1,8,1,0,0,0.081967213,18,9,18,1,1,353,1
40,14,1,0,0,0,0,0,0,10,10,9,1,1,798,0
27,18,2,0,0,0,0,0,0,10,10,0,1,0,209,0
38,18,2,0,0,0,0,0,0,10,10,5,0,1,322,0
28,20,1,0,0,0,0,0,0,16,16,0,1,1,15,1
42,19,2,2,0,0,0,0,0,9,7,9,0,0,537,1
23,15,2,1,0,0,0,0,0,3,3,0,0,0,198,0
131,54,5,1,3,2,0,0,0.13740458,17,13,17,1,0,14,1
57,12,3,0,0,0,0,0,0,11,4,11,1,0,3032,0
70,19,3,0,0,0,3,0,0.085714286,10,7,10,1,1,781,0
52,19,2,0,0,0,0,0,0.019230769,15,15,7,1,1,305,1
29,17,2,0,0,0,0,0,0,9,9,3,1,0,224,1
206,21,3,0,7,0,0,0,0.325242718,24,10,24,1,0,819,1
52,16,2,0,0,2,0,0,0,9,9,8,0,1,903,0
28,20,2,0,0,0,0,0,0.071428571,9,9,0,1,0,0,1
35,14,2,0,0,0,0,0,0,8,6,8,0,0,328,0
63,22,1,2,0,0,0,0,0,15,15,8,1,1,113,1
64,39,5,3,0,0,0,0,0.015625,9,9,7,1,1,228,1
50,19,3,0,0,0,0,0,0,11,11,8,1,0,484,1
89,15,2,7,0,0,0,0,0.112359551,11,7,11,0,1,94,0
119,12,4,2,0,0,0,0,0.218487395,40,8,40,1,1,297,1
47,20,1,0,0,0,0,0,0,16,16,9,1,1,426,1
44,28,2,0,0,0,0,0,0,17,17,5,1,1,198,1
203,18,8,0,0,0,0,0,0,12,12,10,1,1,670,1
33,12,2,0,0,0,0,0,0.212121212,7,4,7,0,0,1261,0
64,23,2,2,0,0,0,0,0.140625,15,8,15,1,1,359,1
33,11,1,0,0,0,0,0,0,13,7,13,1,0,179,0
68,42,5,3,0,0,0,0,0.058823529,9,9,7,1,1,228,1
41,32,2,0,0,0,0,0,0,18,18,0,1,0,587,0
27,18,2,0,0,0,0,0,0,11,11,0,0,1,241,0
61,21,4,0,1,0,0,0,0.098360656,13,13,8,1,1,16,0
21,14,1,0,0,0,0,0,0,11,11,0,1,0,0,0
29,20,3,0,0,0,0,0,0,9,9,0,1,0,0,0
152,24,4,4,2,1,0,0,0.125,32,13,32,1,0,0,1
54,36,2,3,0,0,0,0,0,8,8,8,1,1,373,1
79,28,4,1,1,0,0,4,0.265822785,27,9,27,1,1,113,1
67,9,1,0,0,3,0,0,0,10,5,10,1,0,359,0
40,31,4,0,0,0,0,0,0.25,14,14,0,1,1,217,1
58,16,2,0,0,1,0,0,0,10,9,10,0,1,901,0
52,21,2,2,0,0,0,0,0,13,13,9,1,1,1202,0
53,22,2,1,0,0,0,0,0,14,14,14,1,1,449,0
43,19,3,0,0,0,0,0,0,11,11,5,1,0,834,0
28,10,3,0,0,0,0,0,0.25,5,2,5,1,1,0,1
44,29,3,0,0,0,0,0,0.045454545,18,18,4,0,0,272,1
129,54,5,1,3,2,0,0,0.093023256,17,13,17,1,1,25,1
40,31,2,0,0,0,0,0,0,23,23,0,1,1,181,0
124,46,5,0,3,2,0,0,0.225806452,17,13,17,1,1,25,1
47,13,2,0,0,0,0,0,0,9,9,6,1,0,283,1
62,27,1,1,0,0,0,0,0,23,23,9,1,0,26,1
24,16,3,0,0,0,0,0,0,6,6,0,0,1,0,0
124,46,5,0,3,2,0,0,0.129032258,17,13,17,1,1,25,1
102,20,2,0,0,0,0,0,0.019607843,16,16,9,1,0,199,1
75,19,3,6,0,2,0,0,0.053333333,9,9,9,1,0,257,0
59,37,2,0,0,0,0,0,0.13559322,18,18,13,1,0,358,1
59,17,3,0,0,0,0,0,0.06779661,13,13,8,1,0,1078,1
39,30,2,0,0,0,0,0,0,17,17,0,1,0,374,1
31,17,2,0,0,0,0,0,0,10,10,4,0,1,0,0
37,14,2,0,0,0,0,0,0,13,6,13,0,0,393,0
34,18,2,1,0,0,0,0,0,10,10,3,1,0,0,0
40,31,2,2,0,0,0,0,0,11,11,0,1,0,952,1
61,18,2,2,0,0,0,0,0,13,10,13,1,0,991,0
30,20,1,0,0,0,0,0,0,16,16,2,1,0,1650,1
42,21,2,0,0,0,0,0,0,15,15,7,1,1,0,1
46,23,2,1,0,0,0,0,0,10,7,10,0,0,199,0
28,19,3,0,0,0,0,0,0,8,8,0,1,1,0,0
68,21,3,1,0,0,0,0,0.014705882,10,8,10,1,0,464,1
49,31,2,1,0,0,0,0,0.142857143,9,9,6,0,0,334,1
42,19,3,1,0,0,0,0,0.119047619,11,11,5,1,1,253,0
71,26,2,4,0,0,0,0,0,18,18,11,1,1,57,0
49,24,3,0,0,0,0,0,0,16,16,6,0,1,97,1
47,39,4,2,0,0,0,0,0,9,9,0,1,1,228,1
45,12,1,0,0,0,0,0,0.066666667,11,8,11,1,0,178,0
31,23,3,0,0,0,0,0,0,13,13,0,1,1,1613,0
46,28,4,1,0,0,0,0,0.195652174,11,11,7,1,1,218,1
31,24,2,0,0,0,0,0,0.032258065,11,11,0,1,0,374,1
51,18,2,0,0,0,0,0,0.098039216,10,10,6,1,0,18,1
44,16,2,3,0,0,0,0,0.272727273,7,7,5,1,1,1159,0
71,25,2,1,1,1,0,0,0.169014085,14,14,7,1,1,358,1
25,16,2,0,0,0,0,0,0,9,9,0,1,0,0,0
91,13,3,7,0,0,0,0,0.065934066,10,5,10,1,1,879,0
137,10,3,6,1,0,0,0,0.343065693,16,7,16,1,1,0,1
121,13,2,17,0,0,0,0,0,8,5,8,0,0,1342,0
50,25,3,0,0,2,0,0,0.02,17,17,5,1,0,362,1
26,17,3,0,0,0,0,0,0,6,6,0,0,0,0,0
29,21,2,0,0,0,0,0,0,13,13,0,1,1,114,0
25,7,1,0,1,0,0,0,0,5,4,5,0,0,0,0
47,28,2,0,0,0,0,0,0,20,20,5,1,1,388,0
47,39,2,2,0,0,0,0,0.085106383,11,11,0,1,0,276,1
61,18,2,3,0,0,0,0,0,12,5,12,1,0,26,0
73,14,2,5,0,0,0,0,0.109589041,10,6,10,0,1,1167,0
140,32,2,2,1,4,0,0,0.028571429,46,14,46,1,0,382,1
31,22,2,0,0,0,0,0,0,15,15,0,0,0,0,0
34,25,2,0,0,0,0,0,0,18,18,0,1,1,0,0
44,15,2,1,0,0,0,0,0,7,7,7,0,0,60,0
44,16,2,0,0,1,0,0,0,9,9,8,0,0,902,0
78,16,2,4,0,0,0,0,0.102564103,9,8,9,1,1,507,0
38,15,3,1,0,0,0,0,0,5,4,5,0,1,118,0
132,28,3,11,0,0,0,0,0.045454545,20,20,12,1,1,218,0
46,20,3,0,0,0,1,0,0.043478261,10,8,10,1,0,0,1
149,33,5,0,1,0,2,0,0.120805369,67,16,67,1,1,231,1
57,25,3,0,0,0,0,0,0.192982456,18,18,6,1,0,0,1
116,15,1,14,0,0,0,0,0.051724138,11,11,9,1,1,232,0
83,28,4,4,0,0,0,0,0.108433735,9,9,7,1,1,587,0
28,21,2,0,0,0,0,0,0.178571429,9,9,0,1,0,50,1
63,31,2,1,0,0,0,0,0,16,16,10,1,0,130,0
80,25,3,3,0,0,0,0,0.075,14,14,11,0,1,1928,0
33,25,2,1,0,0,0,0,0,8,8,0,1,0,311,1
24,15,3,0,0,0,0,0,0,4,4,0,1,0,1213,0
45,24,2,0,0,0,0,0,0,16,16,12,1,0,2439,0
39,13,1,1,0,0,0,0,0,9,9,7,0,0,611,0
30,10,2,1,0,0,0,0,0,5,3,5,1,0,37,1
57,16,3,4,0,0,0,0,0,10,4,10,1,0,297,0
64,19,2,3,0,0,0,0,0,11,11,7,1,1,1406,0
23,14,2,0,0,0,0,0,0,7,7,0,0,1,0,0
74,17,3,0,0,3,0,0,0,10,9,10,0,0,619,0
43,24,3,0,0,0,0,0,0.023255814,16,16,7,1,1,141,0
35,15,2,0,0,0,0,0,0,11,7,11,1,0,2161,0
88,21,2,0,0,1,0,0,0.261363636,32,15,32,1,1,812,1
29,21,2,0,0,0,0,0,0,9,9,0,1,0,438,1
77,23,3,0,1,0,2,0,0.077922078,15,15,9,1,0,2291,0
210,14,4,0,3,1,0,0,0.361904762,64,11,64,1,0,0,1
106,14,3,1,0,3,0,0,0.037735849,22,4,22,1,1,1717,0
27,20,2,1,0,0,0,0,0,8,8,0,1,1,0,0
18,9,2,0,0,0,0,0,0,3,3,0,1,0,0,0
73,28,2,2,0,0,0,0,0.164383562,14,14,10,1,0,589,0
46,16,2,0,0,0,0,0,0.02173913,15,6,15,1,0,2975,1
60,21,3,1,0,0,0,0,0,10,10,9,0,1,0,1
30,21,2,0,0,0,0,0,0.033333333,8,8,0,1,0,374,1
67,19,3,3,0,0,0,0,0,12,12,11,1,1,179,1
73,8,1,0,0,0,0,0,0,10,5,10,1,1,204,1
56,47,2,0,0,0,0,0,0,33,33,0,1,0,588,0
41,17,3,1,0,0,0,0,0,7,7,7,1,0,0,1
61,16,3,0,0,0,0,0,0.081967213,9,6,9,1,1,0,0
557,25,5,24,10,7,5,0,0.350089767,64,15,64,1,1,350,0
65,17,2,7,0,0,0,0,0,7,7,7,1,0,2415,0
28,8,1,0,0,0,0,0,0.214285714,6,4,6,1,0,53,1
54,13,3,1,0,0,0,0,0,10,10,8,1,1,0,1
94,20,4,10,0,0,0,0,0.074468085,12,12,8,1,1,51,0
61,25,2,1,0,0,0,0,0.163934426,17,17,13,1,0,0,1
24,15,2,0,0,0,0,0,0,7,7,0,0,0,318,0
42,21,1,0,0,0,0,0,0,17,17,7,1,0,212,1
243,60,5,5,3,1,0,0,0.349794239,64,9,64,1,0,0,1
50,18,2,0,0,0,0,0,0.02,14,14,7,1,0,159,1
32,16,3,0,0,0,0,0,0,8,8,4,0,0,96,1
95,17,2,1,0,5,0,0,0.052631579,12,9,12,1,0,267,0
54,21,2,2,0,0,0,0,0.018518519,13,13,9,1,1,1457,0
136,50,4,1,3,2,0,0,0.132352941,17,13,17,1,1,25,1
75,11,2,5,0,0,0,0,0.106666667,7,7,7,1,0,617,0
101,28,3,0,0,0,6,0,0.118811881,13,13,9,1,0,220,1
22,13,2,0,0,0,0,0,0.045454545,5,5,0,1,0,290,1
55,18,2,2,0,0,0,0,0,10,10,6,0,1,1302,0
47,16,2,0,0,0,0,0,0,12,12,6,1,0,284,1
75,15,3,0,0,2,0,0,0,10,7,10,1,0,2890,0
129,8,2,1,5,7,0,0,0.023255814,15,4,15,1,0,213,1
34,21,2,0,1,2,0,0,0,10,10,1,1,0,1050,0
25,17,2,1,0,0,0,0,0,6,6,0,1,1,248,1
32,16,2,0,0,0,0,0,0,8,8,7,1,1,2805,0
108,16,2,4,0,0,0,0,0.407407407,32,8,32,1,0,3104,1
71,27,1,0,0,1,0,0,0,23,23,8,1,0,299,1
68,42,4,0,0,0,0,0,0.191176471,15,13,15,1,1,25,1
19,11,2,0,0,0,0,0,0.157894737,5,5,0,1,1,316,1
89,23,2,7,0,0,0,0,0.056179775,15,15,8,1,1,374,0
35,26,2,0,0,0,0,0,0,12,12,0,1,0,586,0
24,15,2,0,0,0,0,0,0,8,8,0,0,0,0,0
21,13,2,0,0,0,0,0,0,6,6,0,1,0,52,1
339,30,4,3,0,6,0,0,0.156342183,94,7,94,1,0,340,1
44,17,5,1,0,0,0,0,0.090909091,6,4,6,1,0,0,1
49,28,3,0,0,0,0,0,0.081632653,17,17,8,0,0,272,1
55,19,2,0,0,0,0,0,0.090909091,11,11,11,0,0,842,0
19,12,2,0,0,0,0,0,0,5,5,0,0,0,59,0
51,16,3,2,0,0,0,0,0,13,4,13,1,0,298,0
31,23,2,1,0,0,0,0,0,8,8,0,1,0,137,1
76,50,4,1,0,0,0,0,0.131578947,15,13,15,1,1,25,1
62,18,2,3,0,0,0,0,0,10,10,9,1,1,1415,0
31,23,2,1,0,0,0,0,0,8,8,0,1,1,360,1
58,25,2,2,0,0,0,0,0,17,17,7,1,0,194,0
42,14,2,0,0,0,0,0,0,6,6,5,1,0,7102,1
38,29,2,0,0,0,0,0,0,21,21,0,1,1,936,0
33,16,2,0,0,0,0,0,0,8,8,7,0,0,2807,0
